SensorActivityACC: x=0.021547815 y=0.19153613 z=9.278131
ACC: x=0.02813187 y=0.2100912 z=9.257181
ACC: x=-0.008379706 y=0.18974048 z=9.349358
ACC: x=-0.025139118 y=0.22804771 z=9.36911
ACC: x=-0.033518825 y=0.27593175 z=9.439739
ACC: x=-0.031124622 y=0.31124622 z=9.203311
GY: rotation around x axis=-0.018109497 around y axis=0.004261058 around z axis=-0.017044231
ACC: x=-0.045489833 y=0.22146365 z=9.73662
ACC: x=0.0664391 y=0.13946225 z=9.283517
ACC: x=0.16938977 y=0.21068975 z=9.403826
ACC: x=0.14903906 y=0.31124622 z=9.396643
ACC: x=-0.21667525 y=0.23104046 z=9.398438
ACC: x=-0.011372458 y=0.30526072 z=9.2787285
ACC: x=-0.018555064 y=0.27114335 z=9.396643
ACC: x=-0.06284779 y=0.16519992 z=9.498995
ACC: x=-0.2645593 y=-0.25198972 z=9.404425
GY: rotation around x axis=-0.017044231 around y axis=-0.054328486 around z axis=-0.029827405
ACC: x=-1.1857284 y=-2.0482395 z=9.81922
ACC: x=1.0019734 y=0.4854244 z=10.020332
ACC: x=0.47465047 y=0.16160862 z=9.996989
ACC: x=-1.8890251 y=-0.5057751 z=11.358093
ACC: x=-1.1186907 y=-1.714847 z=11.629236
ACC: x=2.2427685 y=-0.032920275 z=12.29243
ACC: x=4.311359 y=-0.3705027 z=14.474745
ACC: x=6.779781 y=3.6260185 z=16.026188
ACC: x=0.7469909 y=2.9191303 z=7.583634
GY: rotation around x axis=-2.3393207 around y axis=-4.491155 around z axis=2.1369205
ACC: x=-8.407838 y=-14.495694 z=-13.038224
ACC: x=-4.4663835 y=-4.3299136 z=10.557233
ACC: x=-3.268684 y=-0.16220717 z=12.582727
ACC: x=3.3961751 y=-2.618658 z=14.055759
ACC: x=4.3903675 y=-1.1426327 z=13.61762
ACC: x=0.5674258 y=-0.05686229 z=13.499706
ACC: x=0.2789245 y=-0.8086416 z=13.681067
ACC: x=0.84694886 y=0.18136078 z=11.512519
ACC: x=0.1921347 y=0.37828386 z=8.571242
GY: rotation around x axis=5.0291133 around y axis=1.7811222 around z axis=0.3536678
ACC: x=0.53211135 y=0.6512229 z=5.7347116
ACC: x=0.31543607 y=2.4259248 z=2.1398177
ACC: x=-1.34195 y=2.112883 z=4.4005427
ACC: x=-5.708974 y=2.8215668 z=6.2045736
ACC: x=-8.161834 y=3.3722332 z=10.492589
ACC: x=-4.0707417 y=3.3560722 z=9.065644
ACC: x=-1.6328455 y=6.147113 z=3.8588545
ACC: x=-1.38325 y=4.9069166 z=9.898229
ACC: x=-3.0765493 y=4.4963107 z=9.620501
GY: rotation around x axis=0.21624869 around y axis=-3.3459957 around z axis=-0.78723043
ACC: x=-2.0829554 y=3.2399535 z=8.519168
ACC: x=-0.7691373 y=1.8130093 z=9.152434
ACC: x=-0.57879823 y=1.9327193 z=7.5968018
ACC: x=-1.9847932 y=3.1842883 z=7.1425023
ACC: x=-4.770447 y=4.781221 z=9.952098
ACC: x=-2.4905684 y=5.5347958 z=5.7484784
ACC: x=-1.4784195 y=4.5884876 z=5.6886234
ACC: x=-1.6478093 y=3.7421372 z=5.9771247
ACC: x=-2.2643163 y=4.2634745 z=6.873753
GY: rotation around x axis=0.19920446 around y axis=-0.35579833 around z axis=0.094808534
ACC: x=-2.1751323 y=4.109049 z=6.443395
ACC: x=-1.8662802 y=4.4544125 z=6.4565635
ACC: x=-0.7721301 y=4.0683475 z=6.827665
ACC: x=-1.0145429 y=4.008492 z=6.4589577
ACC: x=-1.5131354 y=4.298789 z=6.533178
ACC: x=-1.5658079 y=4.6710877 z=6.8384385
ACC: x=-1.3359646 y=4.8943467 z=7.1125746
ACC: x=-0.83497787 y=4.608838 z=7.1502833
ACC: x=-0.64823014 y=3.8911762 z=7.2191167
GY: rotation around x axis=-0.3685815 around y axis=-0.30999196 around z axis=-0.07669904
ACC: x=-1.0067618 y=4.1701007 z=7.7332716
ACC: x=-1.4095862 y=4.299388 z=9.164406
ACC: x=-1.3988123 y=3.9743748 z=9.327211
ACC: x=-1.2904748 y=3.7056258 z=8.321048
ACC: x=-1.5167267 y=3.9803603 z=7.6548615
ACC: x=-1.423353 y=4.3568487 z=8.359954
ACC: x=-1.0875661 y=4.6232033 z=9.411008
ACC: x=-0.9475053 y=4.5992613 z=9.667188
ACC: x=-1.091756 y=3.933075 z=8.895058
GY: rotation around x axis=-0.06391586 around y axis=0.06498113 around z axis=-0.00958738
ACC: x=-1.0582372 y=4.040814 z=8.394072
ACC: x=-1.055843 y=4.345476 z=8.996812
ACC: x=-1.1522095 y=4.2461166 z=9.513959
ACC: x=-1.2108675 y=3.9869444 z=9.255385
ACC: x=-1.4502877 y=3.9959226 z=8.850765
ACC: x=-1.6843209 y=3.8181531 z=8.536526
ACC: x=-1.5592239 y=3.9989154 z=8.250419
ACC: x=-1.2156559 y=4.07134 z=8.103774
ACC: x=-0.6859388 y=3.900753 z=8.754997
GY: rotation around x axis=-0.14487597 around y axis=-0.043675844 around z axis=0.099069595
ACC: x=-0.39923313 y=3.7367504 z=9.348161
ACC: x=-0.5626374 y=3.6343982 z=9.085996
ACC: x=-1.661576 y=3.4392707 z=8.874707
ACC: x=-1.875857 y=2.6737247 z=5.1876364
ACC: x=-2.6809072 y=4.0677485 z=6.4828997
ACC: x=-1.654992 y=4.3275194 z=8.240244
ACC: x=-1.3281834 y=3.8402996 z=9.527725
ACC: x=-1.1887212 y=4.091092 z=9.272743
ACC: x=-0.7278373 y=3.839701 z=8.903438
GY: rotation around x axis=0.18961707 around y axis=0.008522116 around z axis=0.18322548
ACC: x=-0.7553706 y=2.8628666 z=8.508394
ACC: x=-1.2228385 y=4.019266 z=7.9511437
ACC: x=-1.3772645 y=3.9731777 z=7.8703394
