SensorActivityACC: x=0.6703765 y=9.159617 z=2.6378117
GY: rotation around x axis=-0.0063915867 around y axis=0.049002163 around z axis=0.011717909
ACC: x=0.90021986 y=9.102157 z=3.413533
ACC: x=0.90500826 y=9.083003 z=3.341707
ACC: x=0.8619126 y=8.905831 z=3.2315738
ACC: x=0.61291564 y=9.025542 z=3.3225534
ACC: x=0.6895301 y=8.963293 z=3.5045128
ACC: x=0.7517793 y=8.920197 z=3.4997244
ACC: x=0.7086837 y=8.963293 z=3.494936
ACC: x=0.79487497 y=9.083003 z=3.6529531
ACC: x=0.8619126 y=8.929773 z=3.7343562
GY: rotation around x axis=-0.00958738 around y axis=-0.03195793 around z axis=-0.037284255
ACC: x=0.7661445 y=8.987235 z=3.5140896
ACC: x=0.62249243 y=8.891466 z=3.6050692
ACC: x=0.5363012 y=8.963293 z=3.638588
ACC: x=0.79008657 y=8.977658 z=3.5380316
ACC: x=0.78529817 y=8.924985 z=3.494936
ACC: x=0.641646 y=8.963293 z=3.4278982
ACC: x=0.6895301 y=8.920197 z=3.3752258
ACC: x=0.7517793 y=8.944139 z=3.3225534
ACC: x=0.9959879 y=9.12131 z=3.5332432
GY: rotation around x axis=-0.017044231 around y axis=-0.040480047 around z axis=-0.004261058
ACC: x=0.90979666 y=8.93935 z=3.5571852
ACC: x=0.7565677 y=8.996812 z=3.5763388
ACC: x=0.61291564 y=8.996812 z=3.6098576
ACC: x=0.7038953 y=8.97287 z=3.389591
ACC: x=0.8475474 y=8.93935 z=3.447052
ACC: x=0.89064306 y=8.982447 z=3.5236664
ACC: x=0.62249243 y=8.992023 z=3.590704
ACC: x=0.61770403 y=8.862736 z=3.5093012
ACC: x=0.6512229 y=8.958505 z=3.4326868
GY: rotation around x axis=-0.0063915867 around y axis=-0.002130529 around z axis=0.002130529
ACC: x=0.8858546 y=9.011177 z=3.4662056
ACC: x=0.8571242 y=8.958505 z=3.5380316
ACC: x=0.7613561 y=8.963293 z=3.5140896
ACC: x=0.49320555 y=8.924985 z=3.4997244
ACC: x=0.58897364 y=8.867524 z=3.4757824
ACC: x=0.91937345 y=8.987235 z=3.5332432
ACC: x=0.9672575 y=9.049484 z=3.5140896
ACC: x=0.7326257 y=8.929773 z=3.5571852
ACC: x=0.5554548 y=8.987235 z=3.5045128
GY: rotation around x axis=-0.03089267 around y axis=0.0031957934 around z axis=-0.0479369
ACC: x=0.6607997 y=8.920197 z=3.7630866
ACC: x=0.7613561 y=8.905831 z=3.4757824
ACC: x=0.7757214 y=8.929773 z=3.3991678
ACC: x=0.7278373 y=9.006389 z=3.389591
ACC: x=0.770933 y=8.896255 z=3.5045128
ACC: x=0.7134721 y=8.896255 z=3.5859156
ACC: x=0.6799533 y=8.953716 z=3.4853592
ACC: x=0.78529817 y=8.992023 z=3.4039562
ACC: x=0.6703765 y=8.929773 z=3.293823
GY: rotation around x axis=-0.007456851 around y axis=-0.018109497 around z axis=-0.05006743
ACC: x=0.61770403 y=8.968081 z=3.4518404
ACC: x=0.45489833 y=9.030331 z=3.4326868
ACC: x=0.79008657 y=8.987235 z=3.6912606
ACC: x=0.9911995 y=9.006389 z=3.5571852
ACC: x=0.7661445 y=9.035119 z=3.3991678
ACC: x=0.6368576 y=8.982447 z=3.5284548
ACC: x=0.59376204 y=8.944139 z=3.6577415
ACC: x=0.7134721 y=8.915408 z=3.518878
ACC: x=0.90979666 y=8.977658 z=3.2507274
GY: rotation around x axis=0.013848438 around y axis=-0.027696876 around z axis=-0.0053263223
ACC: x=0.7469909 y=8.929773 z=3.4757824
ACC: x=0.5746084 y=8.901043 z=3.54282
ACC: x=0.6368576 y=8.934562 z=3.5476084
ACC: x=0.81402856 y=8.953716 z=3.4757824
ACC: x=0.8379706 y=8.982447 z=3.3943794
ACC: x=0.60333884 y=8.934562 z=3.5811272
ACC: x=0.60812724 y=8.963293 z=3.3512838
ACC: x=0.62728083 y=8.824429 z=3.6290112
ACC: x=0.8523358 y=8.977658 z=3.5715504
GY: rotation around x axis=-0.06391586 around y axis=0.04474111 around z axis=0.024501082
ACC: x=0.79008657 y=9.020754 z=3.4422636
ACC: x=0.7038953 y=9.059061 z=3.4901476
ACC: x=0.7278373 y=8.93935 z=3.4039562
GY: rotation around x axis=-0.0053263223 around y axis=-0.02130529 around z axis=-0.020240024
ACC: x=0.4357447 y=8.872313 z=3.2315738
GY: rotation around x axis=0.12676647 around y axis=0.020240024 around z axis=-0.03834952
ACC: x=0.5793968 y=8.93935 z=3.5523968
GY: rotation around x axis=-0.0031957934 around y axis=-0.05752428 around z axis=-0.07137272
ACC: x=0.79008657 y=9.063849 z=3.6577415
GY: rotation around x axis=0.002130529 around y axis=-0.083090626 around z axis=-0.023435818
ACC: x=0.7757214 y=8.992023 z=3.2746694
GY: rotation around x axis=0.017044231 around y axis=-0.03834952 around z axis=0.0053263223
ACC: x=0.59376204 y=8.963293 z=3.5619736
GY: rotation around x axis=-0.0628506 around y axis=0.024501082 around z axis=-0.00958738
ACC: x=0.6751649 y=8.896255 z=3.3225534
GY: rotation around x axis=-0.0127831735 around y axis=-0.004261058 around z axis=-0.051132694
ACC: x=0.80445176 y=9.025542 z=3.3800142
GY: rotation around x axis=-0.04261058 around y axis=0.017044231 around z axis=-0.013848438
ACC: x=0.8571242 y=8.987235 z=3.2411506
GY: rotation around x axis=-0.004261058 around y axis=0.00958738 around z axis=0.05219796
ACC: x=0.58897364 y=8.929773 z=3.4566288
GY: rotation around x axis=-0.043675844 around y axis=-0.011717909 around z axis=-0.04261058
ACC: x=0.6607997 y=8.987235 z=3.5476084
GY: rotation around x axis=-0.03195793 around y axis=-0.01917476 around z axis=-0.049002163
ACC: x=0.79966336 y=9.068638 z=3.518878
GY: rotation around x axis=-0.00958738 around y axis=-0.03195793 around z axis=-0.03089267
ACC: x=0.78050977 y=9.035119 z=3.494936
GY: rotation around x axis=-0.011717909 around y axis=-0.0031957934 around z axis=0.004261058
ACC: x=0.6607997 y=8.901043 z=3.4566288
GY: rotation around x axis=0.0063915867 around y axis=-0.020240024 around z axis=-0.02130529
ACC: x=0.6655881 y=9.044696 z=3.1789012
GY: rotation around x axis=-0.015978966 around y axis=-0.008522116 around z axis=-0.00958738
ACC: x=1.0055647 y=10.078991 z=4.23235
GY: rotation around x axis=0.22050974 around y axis=-0.6018744 around z axis=-0.043675844
ACC: x=-0.49320555 y=11.304822 z=3.9163153
GY: rotation around x axis=-0.30999196 around y axis=-0.16085494 around z axis=-0.19813919
ACC: x=-0.8619126 y=8.537125 z=4.9984946
GY: rotation around x axis=0.46978164 around y axis=-0.5209143 around z axis=-0.21837921
ACC: x=-0.023942016 y=8.144476 z=3.6529531
GY: rotation around x axis=0.40586576 around y axis=-0.3206446 around z axis=-0.029827405
ACC: x=3.1316159 y=8.053496 z=-0.5081693
GY: rotation around x axis=-0.004261058 around y axis=-0.10652645 around z axis=0.0010652645
ACC: x=3.572149 y=8.398261 z=0.45429978
GY: rotation around x axis=-0.27057716 around y axis=-0.42290998 around z axis=-0.78723043
ACC: x=1.70946 y=8.853159 z=1.9722236
GY: rotation around x axis=0.20985709 around y axis=-0.23755397 around z axis=0.5858955
ACC: x=0.7469909 y=9.715072 z=2.0632033
GY: rotation around x axis=-0.5454154 around y axis=-0.32597092 around z axis=-0.08628642
ACC: x=3.787627 y=10.366295 z=3.7774518
GY: rotation around x axis=0.4495416 around y axis=-0.28229508 around z axis=-0.04261058
ACC: x=0.8571242 y=7.4884644 z=-0.42676646
GY: rotation around x axis=0.37284255 around y axis=-1.3028184 around z axis=-0.99282646
ACC: x=-1.8243817 y=6.0663085 z=-1.2024878
GY: rotation around x axis=0.36218992 around y axis=-0.9310411 around z axis=0.011717909
ACC: x=-3.5434184 y=7.4788876 z=6.7079544
GY: rotation around x axis=-0.86499476 around y axis=-0.33449304 around z axis=1.2761868
ACC: x=0.29209262 y=10.155605 z=8.647258
GY: rotation around x axis=-0.61891866 around y axis=1.1334413 around z axis=1.4146712
ACC: x=1.8100165 y=9.035119 z=8.182783
GY: rotation around x axis=0.0 around y axis=1.1387677 around z axis=1.0418286
ACC: x=3.9552212 y=8.264186 z=6.305729
GY: rotation around x axis=0.26844665 around y axis=0.9374327 around z axis=1.2378373
ACC: x=7.053318 y=4.907515 z=4.0839095
GY: rotation around x axis=0.082025364 around y axis=0.86499476 around z axis=0.5954828
ACC: x=2.8874073 y=7.498041 z=6.7749925
GY: rotation around x axis=-0.42397526 around y axis=0.53795856 around z axis=-0.05006743
ACC: x=2.72939 y=7.387908 z=4.409521
GY: rotation around x axis=0.26205507 around y axis=-0.17576863 around z axis=-0.16831179
ACC: x=2.944868 y=7.435792 z=5.0320134
GY: rotation around x axis=0.37816888 around y axis=0.29507825 around z axis=0.165116
ACC: x=3.821146 y=7.838018 z=6.755839
GY: rotation around x axis=-0.24181503 around y axis=0.17150758 around z axis=-0.027696876
